rank,sc,t_start,t_end,duration_days,event_cost,cost_share_cross
67,4,7886,7975,3.75,31579.12,0.1568
68,43,5,200,8.17,28953.95,0.1438
69,7,8046,8120,3.12,28889.81,0.1435
70,56,664,837,7.25,28852.82,0.1433
71,26,303,367,2.71,28528.01,0.1417
72,14,8655,8759,4.38,28522.68,0.1416
73,5,488,585,4.08,28081.5,0.1394
74,13,567,847,11.71,27510.02,0.1366
75,6,8367,8384,0.75,27088.95,0.1345
76,33,1134,1414,11.71,26486.82,0.1315
77,48,663,797,5.62,25627.34,0.1273
78,54,7937,7993,2.38,24625.68,0.1223
79,32,0,103,4.33,24154.77,0.1199
80,16,472,656,7.71,23620.83,0.1173
81,36,7710,7759,2.08,23480.2,0.1166
82,29,8341,8407,2.79,23361.62,0.116
83,36,8199,8286,3.67,22798.07,0.1132
84,44,477,670,8.08,22676.64,0.1126
85,12,783,871,3.71,22656.1,0.1125
86,16,7912,7991,3.33,22539.39,0.1119
87,11,0,162,6.79,22395.8,0.1112
88,8,0,79,3.33,22262.39,0.1105
89,43,304,416,4.71,22244.07,0.1105
90,38,895,943,2.04,22211.7,0.1103
91,12,615,679,2.71,21663.15,0.1076
92,12,30,188,6.62,21103.04,0.1048
93,40,663,704,1.75,20806.38,0.1033
94,18,8685,8759,3.12,19161.86,0.0951
95,24,7984,8105,5.08,18960.71,0.0941
96,25,0,65,2.75,18868.65,0.0937
97,51,871,1037,6.96,18806.75,0.0934
98,26,159,234,3.17,17530.48,0.087
99,16,8513,8599,3.62,17520.94,0.087
100,58,679,797,4.96,16572.19,0.0823
101,43,7903,7962,2.5,16505.54,0.082
102,41,0,81,3.42,15686.02,0.0779
103,23,160,190,1.29,15553.67,0.0772
104,22,792,824,1.38,15339.02,0.0762
105,55,271,393,5.12,15224.77,0.0756
106,23,822,862,1.71,14461.92,0.0718
107,60,583,727,6.04,13901.8,0.069
108,5,4885,4958,3.08,13550.57,0.0673
109,14,8294,8431,5.75,13527.87,0.0672
110,47,7879,8047,7.04,13345.48,0.0663
111,16,184,248,2.71,13199.2,0.0655
112,42,159,201,1.79,12944.95,0.0643
113,4,607,694,3.67,12935.71,0.0642
114,21,7671,7687,0.71,12735.55,0.0632
115,9,8621,8671,2.12,12723.82,0.0632
116,42,342,439,4.08,12222.22,0.0607
117,38,8656,8745,3.75,12043.61,0.0598
118,2,7640,7662,0.96,11822.71,0.0587
119,26,1336,1425,3.75,11805.38,0.0586
120,37,8479,8585,4.46,11801.79,0.0586
121,49,622,702,3.38,11644.87,0.0578
122,50,8695,8743,2.04,11551.07,0.0574
123,25,305,415,4.62,11198.22,0.0556
124,8,185,319,5.62,11178.42,0.0555
125,11,304,416,4.71,11069.54,0.055
126,45,8656,8759,4.33,11021.28,0.0547
127,35,8176,8264,3.71,10624.23,0.0528
128,51,8214,8323,4.58,10551.98,0.0524
129,46,78,200,5.12,10525.53,0.0523
130,27,367,434,2.83,10440.24,0.0518
131,1,8047,8071,1.04,9687.14,0.0481
132,6,8438,8495,2.42,9608.07,0.0477
133,54,8382,8466,3.54,9502.19,0.0472
134,36,8559,8575,0.71,9477.04,0.0471
135,58,7958,8022,2.71,9351.11,0.0464
136,14,494,536,1.79,9208.59,0.0457
137,41,7793,7904,4.67,9110.02,0.0452
138,53,8216,8310,3.96,8994.06,0.0447
139,21,7961,8062,4.25,8861.7,0.044
140,40,566,603,1.58,8790.01,0.0436
141,50,4884,4948,2.71,8777.23,0.0436
142,13,7937,7993,2.38,8727.72,0.0433
143,28,4886,4959,3.08,8646.61,0.0429
144,55,1471,1514,1.83,8446.41,0.0419
145,7,8551,8585,1.46,8409.09,0.0418
146,18,8441,8480,1.67,8407.82,0.0417
147,45,391,489,4.12,8316.55,0.0413
148,60,1352,1399,2.0,8308.82,0.0413
149,17,7,55,2.04,8308.38,0.0413
150,8,1337,1424,3.67,8294.33,0.0412
151,53,4910,4959,2.08,8276.25,0.0411
152,8,4359,4407,2.04,8242.56,0.0409
153,43,7733,7824,3.83,8171.26,0.0406
154,50,7936,7976,1.71,8122.93,0.0403
155,16,8047,8143,4.04,8020.67,0.0398
156,28,8519,8577,2.46,7892.28,0.0392
157,42,4575,4670,4.0,7881.0,0.0391
158,22,5053,5103,2.12,7832.31,0.0389
159,34,679,762,3.5,7623.62,0.0379
160,3,8008,8089,3.42,7617.11,0.0378
161,37,1063,1085,0.96,7608.69,0.0378
162,3,655,738,3.5,7587.55,0.0377
163,60,4911,4958,2.0,7525.58,0.0374
164,42,8585,8623,1.62,7523.3,0.0374
165,21,1312,1374,2.62,7482.9,0.0372
